address,suburb,postcode,property_type,beds,baths,parking,land_size_m2,sold_price,sold_date,sale_method,source_site,source_url
15/12 Early Street,Parramatta,2150,Apartment,2,1,1,,493000,2026-09-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
33/68 Great Western Highway,Parramatta,2150,Apartment,2,1,1,,520000,2026-09-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
2/39-41 Victoria Road,Parramatta,2150,House,2,2,1,,,2026-09-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
505/23 Hassall Street,Parramatta,2150,Apartment,2,2,1,,660000,2026-09-09,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
1602/83 Church Street,Parramatta,2150,Apartment,3,2,1,,,2026-09-08,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
1602/83 Church Street,Parramatta,2150,Apartment,3,2,1,,,2026-09-08,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
89/459-463 Church Street,Parramatta,2150,Apartment,2,2,1,,580000,2026-09-04,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
8/64-66 Great Western Highway,Parramatta,2150,Apartment,1,1,1,,425000,2026-09-04,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
1702/45 Macquarie Street,Parramatta,2150,Apartment,2,2,1,,705000,2026-09-04,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
2005/83 Church Street,Parramatta,2150,Apartment,1,1,1,,,2026-09-04,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
10/4 Peace Lane,Parramatta,2150,Apartment,2,2,1,108,570000,2026-09-03,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2
505/330 Church Street,Parramatta,2150,Apartment,2,2,1,,700000,2026-09-03,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2
9/178 George Street,Parramatta,2150,Apartment,1,1,0,,490000,2026-09-01,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2
3/23 Good Street,Parramatta,2150,Apartment,2,1,1,,569000,2026-08-31,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2
17/10-12 Thomas Street,Parramatta,2150,Apartment,2,1,1,,650000,2026-08-31,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2
401/6 River Road West,Parramatta,2150,Apartment,2,2,1,108,540000,2026-08-30,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2
1403/1-3 Valentine Avenue,Parramatta,2150,Apartment,1,1,1,,355000,2026-08-28,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2
1201/45 Macquarie Street,Parramatta,2150,Apartment,1,1,1,,566000,2026-08-28,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2
5/30-32 Queens Avenue,Parramatta,2150,Apartment,2,1,1,,680000,2026-08-28,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2
11/32 Hassall Street,Parramatta,2150,Apartment,2,2,1,,590000,2026-08-28,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2
C26/88-98 Marsden Street,Parramatta,2150,Apartment,2,2,1,,552000,2026-08-27,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2
15/1 Good Street,Parramatta,2150,Apartment,2,1,1,,480000,2026-08-27,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2
1417/32 Hunter Street,Parramatta,2150,Apartment,1,1,1,,560000,2026-08-25,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2
907/6-10 Charles Street,Parramatta,2150,Apartment,3,2,1,,720000,2026-08-25,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2
16L/15 Campbell Street,Parramatta,2150,Apartment,1,1,1,,405000,2026-08-25,Auction,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3
D603/1 Broughton Street,Parramatta,2150,Apartment,2,2,1,,680000,2026-08-25,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3
805/21 Hassall Street,Parramatta,2150,Apartment,1,1,0,,410000,2026-08-24,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3
108/125-129 Arthur Street,Parramatta,2150,Apartment,2,1,1,,653000,2026-08-21,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3
219/88 Church Street,Parramatta,2150,Apartment,1,1,1,,600000,2026-08-21,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3
41/3 Good Street,Parramatta,2150,Apartment,2,2,1,,641000,2026-08-21,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3
1502/88 Church Street,Parramatta,2150,Apartment,2,2,1,,800000,2026-08-21,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3
11/22-24 Tennyson Street,Parramatta,2150,Apartment,2,2,1,,650000,2026-08-17,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3
721/1-3 Valentine Avenue,Parramatta,2150,Apartment,0,1,0,,250000,2026-08-17,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3
138 Railway Street,Parramatta,2150,Townhouse,2,1,1,,685000,2026-08-14,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3
53/20 Victoria Road,Parramatta,2150,Apartment,2,2,1,,640000,2026-08-13,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3
5/5 Thomas Street,Parramatta,2150,Apartment,2,1,1,,530000,2026-08-12,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=4
2/1-7 Bobart Street,Parramatta,2150,Townhouse,2,1,1,,780000,2026-08-12,Auction,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=4
3637/180 George Street,Parramatta,2150,Apartment,1,1,0,,623000,2026-08-12,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=4
33 Rosehill Street,Parramatta,2150,House,4,1,1,691,2080000,2026-08-08,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=4
4/39 Great Western Highway,Parramatta,2150,Apartment,2,1,1,1737,560000,2026-08-07,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=4
C19/88 Marsden Street,Parramatta,2150,Apartment,2,2,1,,520000,2026-08-07,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=4
