address,suburb,postcode,property_type,beds,baths,parking,land_size_m2,sold_price,sold_date,sale_method,source_site,source_url,total_rooms,bath_per_bed,has_land_data,log_land_size,land_per_bed,has_parking,months_since_start,is_auction
28 Eggleton Street,Blacktown,2148,House,3,1,2,866.0,1263000.0,2026-08-13,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,4,0.3333333333333333,1,6.7650389767805414,288.6666666666667,1,2.6,0
12 Glamorgan Street,Blacktown,2148,House,3,1,1,556.0,1030000.0,2026-08-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,4,0.3333333333333333,1,6.322565239927284,185.33333333333334,1,2.53,0
307/11-13 Clifton Street,Blacktown,2148,Apartment,2,2,1,,575000.0,2026-08-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,4,1.0,0,0.0,0.0,1,2.53,0
15/25 Kildare Road,Blacktown,2148,Apartment,2,1,1,,460000.0,2026-08-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,3,0.5,0,0.0,0.0,1,2.53,0
41 Burrell Parade,Blacktown,2148,House,3,1,2,556.0,960000.0,2026-08-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,4,0.3333333333333333,1,6.322565239927284,185.33333333333334,1,2.53,0
57 Walters Road,Blacktown,2148,House,3,1,1,835.0,1221000.0,2026-08-08,Auction,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,4,0.3333333333333333,1,6.728628613084702,278.3333333333333,1,2.43,1
59 Walters Road,Blacktown,2148,House,3,1,1,562.0,900000.0,2026-08-08,Auction,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,4,0.3333333333333333,1,6.333279628139691,187.33333333333334,1,2.43,1
29/17-19 Third Avenue,Blacktown,2148,Apartment,2,1,1,,455000.0,2026-08-07,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,3,0.5,0,0.0,0.0,1,2.4,0
4/313 Flushcombe Road,Blacktown,2148,Townhouse,3,2,2,,920000.0,2026-08-05,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,5,0.6666666666666666,0,0.0,0.0,1,2.33,0
12 Siebel Street,Blacktown,2148,House,5,2,1,560.0,1080000.0,2026-08-05,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,7,0.4,1,6.329720905522696,112.0,1,2.33,0
12/15 Devitt Street,Blacktown,2148,Apartment,2,1,1,,465000.0,2026-08-03,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,3,0.5,0,0.0,0.0,1,2.27,0
59 Lancaster Street,Blacktown,2148,House,3,2,3,600.0,900000.0,2026-07-31,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,5,0.6666666666666666,1,6.398594934535208,200.0,1,2.17,0
19 Leonard Street,Blacktown,2148,House,3,2,3,543.0,927000.0,2026-07-30,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,5,0.6666666666666666,1,6.298949246855942,181.0,1,2.14,1
53-53A Pelleas Street,Blacktown,2148,House,7,4,2,584.0,1700000.0,2026-07-29,Auction,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,11,0.5714285714285714,1,6.371611847231857,83.42857142857143,1,2.1,1
301/10 Carinya Street,Blacktown,2148,Apartment,2,2,1,,590000.0,2026-07-28,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,4,1.0,0,0.0,0.0,1,2.07,0
9 Nicholas Street,Blacktown,2148,House,5,2,1,550.0,1200000.0,2026-07-28,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,7,0.4,1,6.311734809152915,110.0,1,2.07,0
3 Bridge View Street,Blacktown,2148,House,5,2,2,803.0,1200000.0,2026-07-27,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,7,0.4,1,6.6895992691789665,160.6,1,2.04,0
25 Virginia Street,Blacktown,2148,House,4,1,3,,1120000.0,2026-07-26,Auction,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,5,0.25,0,0.0,0.0,1,2.0,1
11-11a Virginia Street,Blacktown,2148,House,4,2,2,588.0,1075000.0,2026-07-25,Auction,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,6,0.5,1,6.3784261836515865,147.0,1,1.97,1
25 Dagmar Crescent,Blacktown,2148,House,4,2,1,600.0,992500.0,2026-07-25,Auction,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,6,0.5,1,6.398594934535208,150.0,1,1.97,1
4/44-50 Thomas Street,Parramatta,2150,Townhouse,2,1,1,,720000.0,2026-09-16,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/,3,0.5,0,0.0,0.0,1,3.71,0
2315/45 Macquarie Street,Parramatta,2150,Apartment,2,2,1,,640000.0,2026-09-16,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/,4,1.0,0,0.0,0.0,1,3.71,0
1/3 Stewart Street,Parramatta,2150,Apartment,2,1,1,,570000.0,2026-09-16,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/,3,0.5,0,0.0,0.0,1,3.71,0
641/180 George Street,Parramatta,2150,Apartment,2,1,0,,600000.0,2026-09-16,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/,3,0.5,0,0.0,0.0,0,3.71,0
610/36-46 Cowper Street,Parramatta,2150,Apartment,2,2,1,,575000.0,2026-09-14,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/,4,1.0,0,0.0,0.0,1,3.65,0
2/16 Betts Street,Parramatta,2150,Apartment,2,1,1,,660000.0,2026-09-12,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/,3,0.5,0,0.0,0.0,1,3.58,0
1404/1-3 Valentine Avenue,Parramatta,2150,Apartment,1,1,0,,320000.0,2026-09-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/,2,1.0,0,0.0,0.0,0,3.55,0
820K/2 Morton Street,Parramatta,2150,Apartment,2,2,1,,650000.0,2026-09-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/,4,1.0,0,0.0,0.0,1,3.55,0
15/12 Early Street,Parramatta,2150,Apartment,2,1,1,,493000.0,2026-09-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/,3,0.5,0,0.0,0.0,1,3.55,0
33/68 Great Western Highway,Parramatta,2150,Apartment,2,1,1,,520000.0,2026-09-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/,3,0.5,0,0.0,0.0,1,3.55,0
505/23 Hassall Street,Parramatta,2150,Apartment,2,2,1,,660000.0,2026-09-09,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/,4,1.0,0,0.0,0.0,1,3.48,0
89/459-463 Church Street,Parramatta,2150,Apartment,2,2,1,,580000.0,2026-09-04,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/,4,1.0,0,0.0,0.0,1,3.32,0
8/64-66 Great Western Highway,Parramatta,2150,Apartment,1,1,1,,425000.0,2026-09-04,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/,2,1.0,0,0.0,0.0,1,3.32,0
1702/45 Macquarie Street,Parramatta,2150,Apartment,2,2,1,,705000.0,2026-09-04,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/,4,1.0,0,0.0,0.0,1,3.32,0
10/4 Peace Lane,Parramatta,2150,Apartment,2,2,1,,570000.0,2026-09-03,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2,4,1.0,0,0.0,0.0,1,3.29,0
505/330 Church Street,Parramatta,2150,Apartment,2,2,1,,700000.0,2026-09-03,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2,4,1.0,0,0.0,0.0,1,3.29,0
9/178 George Street,Parramatta,2150,Apartment,1,1,0,,490000.0,2026-09-01,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2,2,1.0,0,0.0,0.0,0,3.22,0
3/23 Good Street,Parramatta,2150,Apartment,2,1,1,,569000.0,2026-08-31,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2,3,0.5,0,0.0,0.0,1,3.19,0
